Date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-01-22,WA,1,0,0,0,0,0,0,0,0,0,2020-01-22T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-23,WA,1,0,0,0,0,0,0,0,0,0,2020-01-23T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-24,WA,1,0,0,0,0,0,0,0,0,0,2020-01-24T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-25,WA,1,0,0,0,0,0,0,0,0,0,2020-01-25T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-26,WA,1,0,0,0,0,0,0,0,0,0,2020-01-26T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-27,WA,1,0,0,0,0,0,0,0,0,0,2020-01-27T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-28,WA,1,0,0,0,0,0,0,0,0,0,2020-01-28T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-29,WA,1,0,0,0,0,0,0,0,0,0,2020-01-29T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-30,WA,1,0,0,0,0,0,0,0,0,0,2020-01-30T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-01-31,WA,1,0,0,0,0,0,0,0,0,0,2020-01-31T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-01,WA,1,0,0,0,0,0,0,0,0,0,2020-02-01T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-02,WA,1,0,0,0,0,0,0,0,0,0,2020-02-02T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-03,WA,1,0,0,0,0,0,0,0,0,0,2020-02-03T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-04,WA,1,0,0,0,0,0,0,0,0,0,2020-02-04T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-05,WA,1,0,0,0,0,0,0,0,0,0,2020-02-05T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-06,WA,1,0,0,0,0,0,0,0,0,0,2020-02-06T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-02-07,WA,2,0,0,0,0,0,0,0,0,0,2020-02-07T21:00:00Z,0,0,2,2,0,0,0,1,1
2020-02-08,WA,2,0,0,0,0,0,0,0,0,0,2020-02-08T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-09,WA,2,0,0,0,0,0,0,0,0,0,2020-02-09T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-10,WA,2,0,0,0,0,0,0,0,0,0,2020-02-10T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-11,WA,2,0,0,0,0,0,0,0,0,0,2020-02-11T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-12,WA,2,0,0,0,0,0,0,0,0,0,2020-02-12T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-13,WA,2,0,0,0,0,0,0,0,0,0,2020-02-13T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-14,WA,2,0,0,0,0,0,0,0,0,0,2020-02-14T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-15,WA,2,0,0,0,0,0,0,0,0,0,2020-02-15T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-16,WA,2,0,0,0,0,0,0,0,0,0,2020-02-16T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-17,WA,2,0,0,0,0,0,0,0,0,0,2020-02-17T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-02-18,WA,2,0,0,0,0,0,0,0,0,0,2020-02-18T21:00:00Z,0,0,2,2,0,0,0,0,0
